iter	Passed	Remaining
0	34	3393
1	74	3674
2	98	3197
3	127	3059
4	150	2852
5	174	2733
6	198	2633
7	221	2549
8	248	2514
9	275	2479
10	300	2428
11	326	2396
12	357	2393
13	388	2386
14	417	2365
15	446	2345
16	479	2340
17	507	2311
18	534	2279
19	561	2247
20	590	2223
21	633	2247
22	668	2237
23	693	2195
24	720	2160
25	756	2153
26	781	2112
27	808	2079
28	837	2049
29	863	2014
30	896	1995
31	926	1969
32	953	1935
33	981	1905
34	1012	1880
35	1040	1850
36	1081	1841
37	1126	1837
38	1156	1808
39	1188	1782
40	1217	1751
41	1243	1717
42	1274	1689
43	1298	1653
44	1326	1621
45	1349	1584
46	1374	1550
47	1402	1518
48	1429	1488
49	1458	1458
50	1487	1428
51	1513	1397
52	1539	1364
53	1567	1335
54	1596	1306
55	1622	1274
56	1652	1246
57	1679	1216
58	1706	1185
59	1732	1154
60	1758	1124
61	1783	1093
62	1808	1061
63	1836	1032
64	1860	1002
65	1884	971
66	1908	940
67	1933	909
68	1960	880
69	1986	851
70	2012	822
71	2038	792
72	2066	764
73	2093	735
74	2121	707
75	2148	678
76	2174	649
77	2200	620
78	2225	591
79	2251	562
80	2280	534
81	2307	506
82	2331	477
83	2357	448
84	2387	421
85	2416	393
86	2442	365
87	2467	336
88	2491	307
89	2517	279
90	2544	251
91	2569	223
92	2597	195
93	2622	167
94	2648	139
95	2672	111
96	2698	83
97	2723	55
98	2749	27
99	2775	0
