dataset,model,accuracy,precision,recall,f1,roc_auc
Paper 50-50,Logistic Regression,0.7483968313843833,0.7375112714156898,0.7713127121840815,0.7540333732829354,0.8239492650332586
Paper 50-50,Decision Tree,0.736043002640513,0.7222912966252221,0.766974726518295,0.7439626783754116,0.8057356018973789
Paper 50-50,KNN,0.7019049415314975,0.6937556561085972,0.7229347416069408,0.7080447030571719,0.7598047561392247
Paper 50-50,Gaussian NB,0.7167578272350057,0.7229605199340382,0.7028479818936251,0.7127623965954191,0.7849262966467037
Paper 50-50,Random Forest,0.734156921916258,0.7161385793871866,0.7758393059222934,0.7447944957450661,0.8082432275045921
Paper 50-50,XGBoost,0.7464635986420218,0.7268072550551071,0.7897963032817804,0.7569937180819812,0.8226351848892705
Paper 50-50,CatBoost,0.7480667672576387,0.7283618369650143,0.7912108638249717,0.7584866428603716,0.8234989597030422
SMOTE,Logistic Regression,0.7343109429202145,0.31331055370039607,0.760939268200679,0.44386379888882777,0.8221153734295858
SMOTE,Decision Tree,0.8135971828024808,0.3788719058568917,0.528291210863825,0.4412760929499803,0.8060611435696164
SMOTE,KNN,0.7255991800693787,0.28215996270080107,0.6277819690682761,0.389332397578735,0.7419964402026025
SMOTE,Gaussian NB,0.7008567223799012,0.2829144652291875,0.747359486986043,0.4104516262689041,0.7776796693455732
SMOTE,Random Forest,0.8562099232629033,0.46333549643088906,0.2019992455677103,0.2813423524003415,0.7961506237024196
SMOTE,XGBoost,0.8646851676653001,0.5415535035306899,0.18804224820822332,0.27915441691166176,0.8248880654282842
SMOTE,CatBoost,0.8648297067171239,0.5446856498449394,0.18219539796303283,0.2730549077803689,0.8260635191674754
SMOTE-Tomek,Logistic Regression,0.7342846630926101,0.31331521739130436,0.7611278762731045,0.44390056099439007,0.8220923402086494
SMOTE-Tomek,Decision Tree,0.7384762955955009,0.2977686920969075,0.6456054319124859,0.40756064890608723,0.7662579308974576
SMOTE-Tomek,KNN,0.7256254598969831,0.28223926770352165,0.6280648811769144,0.38946229642408114,0.7420631433910867
SMOTE-Tomek,Gaussian NB,0.7009092820351098,0.28295487003713227,0.747359486986043,0.4104941468973376,0.7776945535459758
SMOTE-Tomek,Random Forest,0.8319010827288973,0.3866625245935591,0.35213127121840815,0.36858990178174816,0.7813209857435334
SMOTE-Tomek,XGBoost,0.2832834016608851,0.1591025461993204,0.9669935873255375,0.2732469055200991,0.6025363005750386
SMOTE-Tomek,CatBoost,0.21528434773467886,0.14957191780821918,0.9884949075820445,0.25982846661048037,0.6016239162234617
Class Weight,Logistic Regression,0.7513796909492274,0.3260842290159341,0.735288570350811,0.4518035636679704,0.8238786717384481
Class Weight,Decision Tree,0.7357300536108483,0.30977912932138285,0.7301018483591097,0.4349926958085178,0.8023092510099891
Class Weight,KNN,0.8560522442972774,0.45496535796766746,0.1672010562052056,0.2445348596648507,0.7124439769235864
Class Weight,Gaussian NB,0.7874224745085672,0.3323508180943215,0.5210298000754432,0.40583223152636994,0.7851033068322195
Class Weight,Random Forest,0.8627273205087774,0.5349977708426215,0.11316484345529988,0.18681404218883785,0.8013040189356745
Class Weight,XGBoost,0.8222563859981078,0.392781160589832,0.504903809883063,0.4418403135960388,0.8151121181406411
Class Weight,CatBoost,0.7545595500893514,0.328563542949344,0.7297246322142588,0.45311081832820965,0.8213987836938963
